"group","trial_name","trial_type","video_name","trialID","feedback","target","distractor1","distractor2","distractor3"
1,"Func2train_changed","Func2train","SingleFunc_train_push_changed_left_1.mp4",5,NA,NA,NA,NA,NA
1,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_left_1.mp4",6,NA,NA,NA,NA,NA
2,"Func2train_changed","Func2train","SingleFunc_train_push_changed_left_2.mp4",5,NA,NA,NA,NA,NA
2,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_left_2.mp4",6,NA,NA,NA,NA,NA
3,"Func2train_changed","Func2train","SingleFunc_train_push_changed_left_2.mp4",5,NA,NA,NA,NA,NA
3,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_left_2.mp4",6,NA,NA,NA,NA,NA
4,"Func2train_changed","Func2train","SingleFunc_train_push_changed_left_2.mp4",5,NA,NA,NA,NA,NA
4,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_left_2.mp4",6,NA,NA,NA,NA,NA
5,"Func2train_changed","Func2train","SingleFunc_train_push_changed_left_2.mp4",5,NA,NA,NA,NA,NA
5,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_left_2.mp4",6,NA,NA,NA,NA,NA
6,"Func2train_changed","Func2train","SingleFunc_train_push_changed_left_1.mp4",5,NA,NA,NA,NA,NA
6,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_left_1.mp4",6,NA,NA,NA,NA,NA
7,"Func2train_changed","Func2train","SingleFunc_train_push_changed_left_1.mp4",5,NA,NA,NA,NA,NA
7,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_left_1.mp4",6,NA,NA,NA,NA,NA
8,"Func2train_changed","Func2train","SingleFunc_train_push_changed_left_2.mp4",5,NA,NA,NA,NA,NA
8,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_left_2.mp4",6,NA,NA,NA,NA,NA
9,"Func2train_changed","Func2train","SingleFunc_train_push_changed_right_2.mp4",5,NA,NA,NA,NA,NA
9,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_right_2.mp4",6,NA,NA,NA,NA,NA
10,"Func2train_changed","Func2train","SingleFunc_train_push_changed_right_1.mp4",5,NA,NA,NA,NA,NA
10,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_right_1.mp4",6,NA,NA,NA,NA,NA
11,"Func2train_changed","Func2train","SingleFunc_train_push_changed_right_1.mp4",5,NA,NA,NA,NA,NA
11,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_right_1.mp4",6,NA,NA,NA,NA,NA
12,"Func2train_changed","Func2train","SingleFunc_train_push_changed_right_1.mp4",5,NA,NA,NA,NA,NA
12,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_right_1.mp4",6,NA,NA,NA,NA,NA
13,"Func2train_changed","Func2train","SingleFunc_train_push_changed_right_2.mp4",5,NA,NA,NA,NA,NA
13,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_right_2.mp4",6,NA,NA,NA,NA,NA
14,"Func2train_changed","Func2train","SingleFunc_train_push_changed_right_2.mp4",5,NA,NA,NA,NA,NA
14,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_right_2.mp4",6,NA,NA,NA,NA,NA
15,"Func2train_changed","Func2train","SingleFunc_train_push_changed_right_2.mp4",5,NA,NA,NA,NA,NA
15,"Func2train_unchanged","Func2train","SingleFunc_train_push_unchanged_right_2.mp4",6,NA,NA,NA,NA,NA
16,"Func2train_changed","Func2train","SingleFunc_train_push_changed_right_1.mp4",5,NA,NA,NA,NA,NA
